City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,mili,6.0815,171.735,28.18,70,98,1.44,MH,1697565025
84,macapa,0.0389,-51.0664,34.99,36,40,4.12,BR,1697565225
85,naifaru,5.4444,73.3657,28.33,73,52,3.74,MV,1697565232
86,colonia,50.9333,6.95,11.08,63,0,3.09,DE,1697565101
87,georgetown,5.4112,100.3354,26.12,92,20,1.54,MY,1697565226
88,ilebo,-4.3167,20.5833,23.06,94,93,0.91,CD,1697565232
89,bilibino,68.0546,166.4372,-15.02,100,100,1.23,RU,1697565232
90,sajir,25.1825,44.5996,27.18,18,0,6.64,SA,1697565233
91,wewak,-3.5534,143.6268,25.93,86,68,0.58,PG,1697565233
92,taroa,8.7058,171.2275,28.15,76,57,3.8,MH,1697565046
93,mizdah,31.4451,12.9801,25.17,18,0,3.67,LY,1697565233
94,hampton bays,40.869,-72.5176,17.08,67,40,3.09,US,1697565233
95,queenstown,-31.8976,26.8753,14.65,66,1,2.33,ZA,1697565234
96,stanley,54.868,-1.6985,9.87,90,20,2.06,GB,1697564942
97,n'dalatando,-9.2978,14.9116,22.63,79,96,1.85,AO,1697565234
98,punta arenas,-53.15,-70.9167,11.06,62,0,11.32,CL,1697565234
99,tazovsky,67.4667,78.7,3.16,94,100,5.61,RU,1697565234
100,ta`u,-14.2336,-169.5144,26.42,79,90,7.82,AS,1697565235
101,posse,-14.0931,-46.3694,35.84,15,2,3.84,BR,1697565235
102,edinburgh of the seven seas,-37.0676,-12.3116,12.59,75,100,4.96,SH,1697565235
103,ilulissat,69.2167,-51.1,-10.99,57,0,2.57,GL,1697565235
104,tabou,4.423,-7.3528,25.79,83,48,2.35,CI,1697565235
105,bryne,58.7354,5.6477,9.99,95,75,2.06,NO,1697565236
106,petropavlovsk-kamchatsky,53.0452,158.6483,6.36,88,20,2.24,RU,1697565230
107,udachny,66.4167,112.4,-8.08,92,90,5.1,RU,1697565236
108,nova sintra,14.8667,-24.7167,25.02,71,0,7.52,CV,1697565236
109,shenjiamen,29.9576,122.298,20.02,63,0,3.05,CN,1697565236
110,whitehorse,60.7161,-135.0538,7.43,83,75,8.75,CA,1697565237
111,aksu,41.1231,80.2644,12.97,33,83,3.22,CN,1697565237
112,fort bragg,35.139,-79.006,20.08,47,0,3.09,US,1697565237
113,tarko-sale,64.9225,77.785,4.44,88,100,5.36,RU,1697565237
114,torres,-29.3353,-49.7269,23.81,91,100,4.91,BR,1697565237
115,pacific grove,36.6177,-121.9166,23.01,81,0,2.06,US,1697564988
116,anadyr,64.75,177.4833,-5.72,100,40,3.0,RU,1697565238
117,fale old settlement,-9.3852,-171.2468,27.57,80,100,5.12,TK,1697565238
118,invercargill,-46.4,168.35,5.57,83,63,2.24,NZ,1697565071
119,geraldton,-28.7667,114.6,18.23,82,100,5.14,AU,1697565239
120,sinabang,2.4803,96.3801,25.35,85,100,1.85,ID,1697565239
121,safford,32.834,-109.7076,29.51,26,0,3.09,US,1697565240
122,klyuchi,52.2667,79.1667,9.77,69,16,3.29,RU,1697565232
123,lubu,23.1742,112.2809,22.54,72,65,1.17,CN,1697565240
124,le vauclin,14.5452,-60.8388,33.03,58,20,6.69,MQ,1697565207
